"","titulo","descricao","theme","location","target"
"2524","Leadership Initiatives Students Creating Change","As members of Leadership Initiatives' (LI) International Internship Program, Aanya, Tripura, Shawn, Anagha, and Annika have been working with LI to research and learn about public health crises and potential solutions in Bauchi State, Nigeria. To transform lives, the team & LI are working to create a public health campaign to raise awareness and educate the people of Bauchi on these various public health issues.","Physical Health","Nigeria",20
"2525","Help Strengthen the Resilience of Syrian Refugees","Now in its thirteenth year, the Syrian civil war has sparked one of the greatest humanitarian crises in modern history, uprooting an estimated 14 million Syrians. Since July 2013, Concern Worldwide has worked with displaced persons within Syria and with refugees and vulnerable host families in Lebanon and Turkey to meet basic needs, improve access to health care, and provide psycho-social support.","Refugee Rights","Turkey",22
"2526","SANITARY TOWELS FOR GIRLS IN RURAL SCHOOLS","Promote the education and retention of the girl child in school through attending to their menstrual Hygiene management. Failure for rural adolescent girls to have proper sanitary menstruation materials such as underwear and sanitary towels can have negative health consequences and also cause girls to worry that they will have a leak at school and be harassed or teased, giving them another reason to skip school during their periods. This is causing girls in Uganda to miss crussial days of school","Gender Equality","Uganda",15
"2527","Sponsor 10 Children for ACE Education program","This Project will provide an Accelerated Christian Education to 10 needy children in central Uganda, this globally successful programme has a unique education system that offers students the opportunity to learn at their own pace while being guided by excellent learning materials. The A.C.E. programme was developed to offer parents and students a high-quality, Christian alternative to the conventional schooling system","Education","Uganda",11
"2528","Drug Assistance for Internally Displaced People","The serious political crisis in Cameroon has resulted in internally displaced English speaking Cameroonians who are now in very remote, rural areas/forests where there are many mosquitoes, resulting in many malaria cases and other illnesses, but no health care facility. RECEADIT needs financial assistance to: 1) employ ten RECEADIT female nurse; 2) purchase more needed drugs; 3) help transport these drugs & nurses; and 4) pay their salaries to travel 70 miles in bushes to provide health care.","Physical Health","Cameroon",20
"2529","Little by Little For Vocational Education","This project will deliver skills training to 20 young adults in greatest need (formerly known in Rwanda as the Batwa) to help them reach a future with self-respect, steady income, and freedom from hunger. Entrepreneurial shopkeepers, seamstresses, hair dressers, welders and brickmakers have already been supported to develop skills and practice to help them prosper... and there is much more to do! Now, mechanics, singers, dancers and potters are all looking to grow their businesses.","Education","Rwanda",11
"2530","Help to feed Hungry and Malnourished children!","Children in Indian streets, slums, and villages are malnourished as their families cannot afford three meals a day. They spend each day hoping that they will find some food to eat at least for the day. The food is either begged, donated by a kind soul, picked from the trash, or by other means. The children don't know if they will be lucky enough the next day to get food. Your support can help these children get three nutritious and delicious meals a day and ensure a better life for them.","Food Security","India",14
"2531","Save Guatemalan Wildlife and Biodiversity!!!","Guatemala is home to some of the world's most endangered wild animals and habitats. ARCAS rescues, rehabilitates and releases wild animals confiscated from traffickers. Some of these animals exist nowhere else in the world. It also protects forests, beaches and wetlands that these animals need to survive. This project will support the food and medical costs of animals undergoing rehabilitation and will help manage protected areas for wildlife in Peten, the Pacific coast and the highlands.","Wildlife Conservation","Guatemala",27
"2532","Women's Sewing Project in Kakuma Refugee Camp","As the first case of Covid-19 has yet been recorded in the Kakuma Refugee Camps, this project will educate people in the refugee camps on Covid-19 and how it affects people. This will include the methods to contain the virus including hand washing, hygiene, masks, and social distancing. Soap, masks, and sanitary napkins will be distributed to vulnerable refugee families. These proactive measures will help to contain the virus if and when it enters the camp.","Gender Equality","Kenya",15
"2533","Leadership Initiatives Students Creating Change","As members of Leadership Initiatives' (LI) International Internship Program, Divjot, Serena, Ashmit, and Mehar have been working with LI to research and learn about public health crises and potential solutions in Bauchi State, Nigeria. To transform lives, the team & LI are working to create a public health campaign to raise awareness and educate the people of Bauchi on these various public health issues.","Physical Health","Nigeria",20
"2534","Bringing palliative care closer to communities","No one, regardless of age, sex, geographical location, socio-economic status should die in pain. Access to Palliative care in Uganda is still a challenge contributing to serious health related suffering with over 300,000 people in need yet not reached. This project aims to extend Palliative care services to villages in three districts of Uganda by supporting trained clinicians to visit patients at home or a site near home. We hope to reach at least 500 cancer patients in a period of 12 months.","Physical Health","Uganda",20
"2535","Provide access to healthcare in rural Haiti","This project brings medical care to a rural region of Haiti where quality medical care is rare. The clinic has served 2,966 patients in the past 2 years (2018 through Sept. 2019). Dr. Elizabeth Brea Ferrari, Director, has identified and treated intestinal parasites, infant malnutrition, respiratory infections, gastric maladies, accident injuries, and diabetes. The clinic has also provided over 2,037 vaccinations in support of a national vaccination campaign.","Physical Health","Haiti",20
"2536","Supporting Children and Teens' Education at risk","At PACO IAP, Childrens Home, we are committed to the well-being and future of the children and teenagers who call our institution their home. Having successfully provided comprehensive care, we are excited to introduce our educational project aimed at securing a quality education for them. Our goal is to equip these children and adolescents with the necessary tools and unwavering support to help them realize their academic and personal potential. Together we can make it possible.","Child Protection","Mexico",2
"2537","Support Teachers in Remote Village of East Bali","Help our teachers to keep providing high quality integrated education to 70 girls and boys in EBPP's remote Jatituhu & Pengalusan schools situated high up Mount Abang and Mount Agung slopes respectively. Their parents are illiterate and these children are their only hope of a better future, to escape poverty and aspire to a future of sustainable social and economic development and prosperity. The teachers are the most important element on the education. Without them, the students cannot learn.","Education","Indonesia",11
"2538","Programming to help Argentinian low income youth","The crisis is increasingly harming the formal and professional labor market in Argentina. However, the software industry grew more than 300% over the last decade, creating a fast-growing demand for technological profiles. IntegrarTEC is a scholarship program specially designed for those who want to be programmers. It is mentor-based and benefits from the knowledge accumulated during 16 years of experience supporting vulnerable students and preparing them to join the labor force.","Education","Argentina",11
"2539","Forest landscape restoration in Northern Ethiopia","In northern Ethiopia, most of the forest has disappeared or has been severely degraded. This means less productive soils and more frequent climate extremes like droughts and floods, causing extreme poverty. This programme in the Desa'a and Amhara regions aims to stop this vicious circle of forest degradation and poverty through restoring the forest and diversifying the population's income.","Ecosystem Restoration","Ethiopia",10
"2540","E-VEN : Evening the educational gap in Venezuela","Education Venezuela ""E-VEN"" offers educational opportunities for children and adults living in Los Roques and Canaima, two highly touristic difficult access communities in Venezuela. By teaching demographically adapted English focused on 3 main pillars; tourism, conservation, and civic values E-VEN aims to promote economic diversification and growth by diminishing the communication barrier. The place you were born should not limit your opportunities, we EVEN them !","Education","Venezuela",11
"2541","Music helping save the lives of Wayuu children","We are pleased to have started music classes for the children of Mara on the border between Venezuela and Colombia. With 230 children from 17 communities, the classes are taught by El Sistema (the National System of Youth and Children's Orchestras and Choirs of Venezuela) twice a week, organized into two groups by age. WITH YOUR HELP, WE CAN PROVIDE A LIFE-CHANGING OPPORTUNITY FOR THE WAYUU CHILDREN.","Arts and Culture","Venezuela",1
"2542","Leadership Initiatives Students Creating Change","As members of Leadership Initiatives' (LI) International Internship Program, Gokul Pranav, Muhammad Saad, Jonathan, Nathan, Nikhil, and Rishi have been working with LI to research and learn about public health crises and potential solutions in Bauchi State, Nigeria. To transform lives, the team & LI are working to create a public health campaign to raise awareness and educate the people of Bauchi on these various public health issues.","Physical Health","Nigeria",20
"2543","10000 Children - 10000 Trees - For You","35,000 will fund the continued involvement of 1000 children in planting 1000 trees every year until 2025, provide opportunities to visit their wood and support an outreach programme to other communities. The wood we plant will provide both an emotional connection to and hands-on practical learning about caring for our natural environment - a space that inspires a love of nature, teaches about the role of trees in mitigating climate change and demonstrates what can be achieved when we take action","Climate Action","United Kingdom",4
"2544","Girls Parliament to end child marriage in Uganda","With your donation, SCOEN proposes to advance girls' leadership by facilitating GIRLS' PARLIAMENTS through which girls & women advocate with key stakeholders like police, clan & church leaders, child protection units to end child marriage at the community. This will create a platform that promotes critical reflection and allows for questioning of beliefs, myths, and practices in order to realize a change in social norms, accelerating the reduction of child marriage & gender-based violence.","Gender Equality","Uganda",15
"2545","Literacy Classes & Books for Afghan Women & Girls","Many millions of Afghans have no access to reading books in school and are learning to read from textbooks only. The Afghan Institute of Learning (AIL) purchases and publishes books for libraries in its Learning Centers and elsewhere and in the schools that it supports.. AIL also provides literacy classes for tens of thousands of Afghans, many of them female.","Education","Afghanistan",11
"2546","Finding + supporting mentors for pupils in Berlin","Children, particularly in difficult life situations, need a constant companion, which they can confide in and who supports them. This is what the project ""PaSch"" (mentors for pupils) stands up for and professionally organizes the matching of an adult mentor and a child in need as well as supports them during their mentorship. PaSch develops long-lasting friendships over generations and cultures and supports children in their personal devolpement.","Education","Germany",11
"2547","Retain Orphan Girl Children in Schools in Uganda","Girl Children of 12 - 24 years in Uganda dropout of school due to failure to manage menstrual health hygiene and lack of support like adequate food and school items. As such engage in child marriage, prostitution and are exposed to HIV/AIDS. The project will enhance retention of 1200 orphan girl child in school by empowering them with knowledge and skills in menstrual health hygiene practices and strengthening the economic power of caregivers through provision of improved agricultural inputs.","Education","Uganda",11
"2548","This machete grows trees!","In Central America, farmers use machetes to plant ""living fences"" and assist forest regrowth. Yet, information about such techniques is hard to find. Today, you can fund the pilot project that will gather this information, design easy instructions and pilot this program to 1000 farmers so they can grow 20,000 trees. After piloting, this program can then be refined and scale across the tropics, leading to hundreds of millions of new trees that help save our planet. Donate for our planet today!","Climate Action","El Salvador",4
"2549","Health and education for children in Chiapas","We will provide early stimulation and nutritional attention for indigenous girls and boys between 0 and 4 years of age, of limited resources and in high risk situations. With the project we seek to contribute to a healthy development of the cognitive and physical functions. Also, we will provide them with birth certificates and help them to enroll in preschool.","Physical Health","Mexico",20
"2550","Support STEM Education for 1000 Bay Area Children","The National Science Foundation estimates that 80% of American jobs created in the next decade will require math and science skills. For low-income children, not having school supplies is a key barrier to learning these skills. How do you learn Geometry if you can't afford a ruler, compass, or protractor? You can support STEM education, and help low-income children start school off on the right foot by supplying the tools they need to succeed in the classroom and beyond.","Education","United States",11
"2551","Empower the Careers of 10 Young African Scientists","We provide scholarships for talented under-privileged science students from Tanzania, Kenya, Malawi and South Africa to attend the London International Youth Science Forum. These African students will join 500 of the best science students from all over the globe learning from world leading scientists through lectures, debates and visits. The Forum provides life changing knowledge and contacts which will empower their science careers and address the critical shortage of scientists in Africa.","Education","Kenya",11
"2552","Leadership Initiatives Students Creating Change","As members of Leadership Initiatives' (LI) International Internship Program, Srimayi, Madhav, Jayani, Shravani, Meenakshi, Mansi, and Jayaditya have been working with LI to research and learn about public health crises and potential solutions in Bauchi State, Nigeria. To transform lives, the team & LI are working to create a public health campaign to raise awareness and educate the people of Bauchi on these various public health issues.","Physical Health","Nigeria",20
"2553","Big Ride 2023: Cycling & Sports in Refugee Camps","75 years of occupation & displacement has traumatized Palestinian refugee children. Physical activity improves mental physical health and provides children living under occupation a taste of childhood. The Big Ride for Palestine is teaming up with MECA to raise funds to give Palestinian children in refugee camps opportunities to cycle and play. Ride with us for Freedom, Justice & Equality for the Palestinians! Sign up for the Big Ride at www.thebigride4palestine.com and support our fundraiser","Refugee Rights","Palestine",22
"2554","Help a Young Widow's Self Business and Dignity","From abuses, poverty and exploitation on widow, this Training on Garments Making and sewing machine provision to each of 115 widow women for their income generation and sustainable survival give changes.The destitute widow women will have 6 months training on Tailoring and EDP. Then a sewing machine and accessories are given to all.","Gender Equality","India",15
"2555","Challenge Camp: Better Life for Children","Low self-confidence and low self-awareness are two developmental problems of underprivileged children. These children are easily influenced by the environment and end up in behavioral deviations. The Mustard Seed Mission hosts Challenge Camp for underprivileged children to encourage them to self-explore, understand their own strengths and traits, and learn to well-work with others. Positive experiences learned from the Challenge Camp would drive them to value and treat themselves in a proper way","Education","Taiwan",11
"2556","Help Tanzanian Youth Make Tech to Help Themselves","Twende is a local NGO with 5+ years of running hands-on design training with 1100+ participants from a range of backgrounds. We believe anybody can solve their own problems but some outside advising, tools, and confidence can help. We provide this support for making tech.","Digital Literacy","Tanzania, United Republic of",6
"2557","Educate to Empower Girls Living in Poverty!","An educational mentoring program to empower at-risk girls in Egypt. It provides underprivileged adolescent girls with access to education, leadership, life skills development opportunities: a character development program, nutritional healthy lifestyle techniques, anti-bullying, and sexual harassment awareness. The training is delivered in a nurturing and safe environment. By equipping 20 instrumental facilitators & 100 mothers, Heya Masr helps girls stay in school and avoid child marriage.","Gender Equality","Egypt",15
"2558","An Integrated Newborn Care Kit to Save Lives","We developed a low-cost integrated newborn care kit (iNCK) that reduces death and helps mothers identify illness in their babies. In 2015, over 280,000 newborns died in only two South Asian countries, Pakistan and Afghanistan, from causes that are largely preventable. So far, about 2,500 pregnant women in Pakistan have received the iNCK and the results have been very positive. Your donation will give iNCKs and education to women and will ultimately save newborn lives.","Physical Health","Pakistan",20
"2559","Help 24 Million Nepalese with access to safe water","The latest study of UNICEF in Nepal revealed that 81% of Nepal's population has no access to water labeled as ""safely managed"". That's about 24 Million people. Nepal Water for Health (NEWAH), an award winning nepalese NGO is developing and strengthening WASH (Water Sanitation and Hygiene) services and won't stop until everyone in the country, irrespective of gender, class, ethnicity or belief, is able to access their right to WASH. Support NEWAH and help achieving their mission.","Clean Water","Nepal",3
"2560","Help Brighten the Lives of Children in Poverty","The stark reality of poverty significantly impacts the lives of many families in San Ramon Costa Rica. While every family member is affected, it can be especially difficult for children who deserve to have a childhood free from worry and care. The Community Action Alliance of Costa Rica (CAA) in San Ramon, is a group of expats and Costa Ricans who are actively working to create some bright spots in the lives of those children whose world is impacted by poverty.","Child Protection","Costa Rica",2
"2561","Play Center for 82 children with cancer in Mexico","The procedures that patients undergo (children and teenagers), the undesirable effects of chemotherapy and its life expectancy lead to stress in children, which manifests in anxiety, fear, behavioral changes, irritability, and withdrawal behaviors. The goals of the play center are: Use positive reinforcement techniques for enhancing patient motivation, To improve their mood and reinforce their immune system, To preserve the health and satisfy special education needs of oncological patients","Mental Health","Mexico",18
"2562","1000 Microloan for Rural Women in Zambia","This projects funds a self-sustaining microfinance initiative issuing collateral-free, interest-bearing loans, for as little as $50, to poor women in rural Zambia to assist them in starting businesses, building assets, and gaining business skills so that they can generate income on a long-term basis, permanently improving their household living standards, and achieving financial independence for themselves and their families.","Economic Growth","Zambia",9
"2563","COVID-19: treatment of childhood cancer can't stop","We are a philanthropic hospital that serves children and adolescents with cancer, who are still part of the risk group for coronavirus and it's new variants. Cancer doesn't stop during pandemic times, and neither do we. Now we are turning to the only person we can count on: YOU.","Physical Health","Brazil",20
"2564","750 Children of widow Need Educational Materials","750 children of widows and destitute women are being provided with educational materials. The widow mother megare earning and multiple exploitation are not allowing children education. But in this support, children are freed from school dropout and education breaking. Hence the children are continuing in studies and the victim of education dropout is averted","Child Protection","India",2
"2565","Training Effective Afghan Teachers","Train 140 teachers to use interactive methodologies that improve learning for 84,000 students. AIL has been chosen to be one of only 14 organizations sanctioned by the government to train teachers in a special 5 year project. AIL has begun its work and the main focus is on training teachers in rural areas of Afghanistan.","Education","Afghanistan",11
"2566","Save the Cassowary from Extinction in Australia","The Endangered Australian Southern Cassowary is a 'keystone' species crucial for rainforest ecology, with fewer that 4,600 remaining in the wild. Their main threat is loss of habitat due to development. Rainforest Rescue is working to save the Cassowary through buying back high conservation rainforest as well as restoring rainforest habitat and creating wildlife corridors through the planting of trees which will provide habitat, food, and a safe passage for generations of Cassowaries to come.","Wildlife Conservation","Australia",27
"2567","Help A Child Get Back to School","The Ngao Foundation knew very little about COVID-19 but now we know that it is going to be with us for a long time. It has come with unintended consequences as so many children still remain at home roaming streets even after school reopening. As children stay longer out of school, we are witnessing a greater risk that the poorest among them have never returned to school. We are experiencing increased cases of violence, child labor, and child marriage, and their mental wellbeing.","Education","Kenya",11
"2568","Solar Fruit Dehydrators for MicroEntrepreneurs","In indigenous communities of Solola, Guatemala 48% of children are malnourished and stunted. Their parents suffer from high unemployment, lack of education, and low income. They are unable to break the cycle of poverty. ATC works with small farm family cooperatives to link appropriate technologies with community groups to improve the quality of life. Solar Dehydrators sustainably produce dried herbs, fruits and vegetables to provide nutrition and generate an income. Our dehydrators end poverty.","Economic Growth","Guatemala",9
"2569","Give Seriously ill Children their Childhood Back","Hospitals treat the illness, Barretstown treats the child. Barretstown offers free, medically endorsed camps and programmes that are designed for children and their families living with cancer and other serious illness - all supported behind the scenes by 24 hour on site medical and nursing care. Our programmes are designed to rebuild confidence and self-esteem through activities that foster growth, development, and independence.","Physical Health","Ireland",20
"2570","Corcovado National Park Rescue Project!","Nat Geographic described Corcovado National Park as ""the most biologically intense area in the world ""; and El Pais in Spain described it as one of the ""25 Most Spectacular National Parks in the World"" Unfortunately, its financial situation is dreadful, the park only receives 10% of the funding needed to fully operate. In the mean time, illegal hunters, loggers and miners are hurting the fragile biodiversity of the park. While park rangers lack of fuel and food to do their patrols.","Climate Action","Costa Rica",4
"2571","Heart2Heart-Children with Congenital Heart Defects","Many children with life-threatening conditions are in the queue facing dire consequences. At Heart2Heart we treat Egyptian children with heart Congenital Diseases with Catheter Procedures 100% Free. These children need your support. Help us save them today.","Physical Health","Egypt",20
"2572","Better chances for childhood cancer in Brazil","Worldwide, every 3 minutes a child is diagnosed with cancer. In Brazil, there were an estimated 16.000 new cases of cancer in every 100.000 children and adolescents. Cancer is the first leading cause of death by disease in the population up to19 years. The GRAACC manages and maintains a hospital that offers diagnostic, treatment and after treatment for children and adolescents with cancer in Brazil, especially high complexity tumors, with an average family income less than $ 20 per day.","Physical Health","Brazil",20
"2573","Provide Solar Lantern to Tanzanian School Children","44% of Tanzanian's 44.6 million population is under 14 years old. The majority of these are school children, mostly in rural areas where 94% of households still depend on firewood for domestic energy and kerosene for lighting. This project will enable 1,000 poor/marginalized Tanzanian school children in rural areas to purchase solar lanterns at a QUARTER OF MARKET PRICE. It will save 9,000 Lts of kerosene/year, equal to $12,857 and 25,000 Kg of CO2 emission; and increase their school performance","Climate Action","Tanzania, United Republic of",4
"2574","Health access to Low-Income Children","During the Covid-19 pandemic, many children with disabilities and polydiagnosis have stopped receiving medical care. In Colombia, state resources have been prioritized to face the current health crisis, leaving in second place the needs of medical and specialized care of the population with disabilities or high-cost illnesses. Our Foundation supports this population through specialized consultations, medications, and therapies that helps to improve the physical and mental health of children","Economic Growth","Colombia",9
"2575","Funding The Integral Heart School in 2023","Education is at the heart of our work. Children born into generational poverty require a compelling, holistic approach to build confidence in their ability to dream. The opening of The Integral Heart Family school six years ago has been a great success. Our school is home to our English, Spanish, History, Psychology, Homework Help, Meditation, Art, Playtime, and Theater Programs. We serve 1,500 meals monthly to 80 children, 4-12 years old and distribute a food baskets to our sponsored families.","Education","Guatemala",11
"2576","Plant renewable solar energy to 25 beneficiaries","Chinseu CBO will plant 25 solar energy in five villages and the targeted beneficiaries will be asked to repaiying the purchasing amount in instalments for the period of 24 months. 22 families and 3 village libraries will be recruited and the monthly repaid money will be used to procure another sets of solar energy to be given to another group of people who will again repays in 24 months and the project will be ongoing.","Digital Literacy","Malawi",6
"2577","Reduce Work Hours for Ecuador's Street Children","UBECI works in outdoor markets throughout Quito with over 620 street children, aged 1-16, providing them with empowering activities covering education, health, and society that enable their academic and social development. UBECI is especially important for the young women we work with who are far less likely to attend school than males. With your support, we can increase the resources we provide to the community and continue our work with one of the most at-risk populations in Ecuador.","Education","Ecuador",11
"2578","Find Families for Older Colombian Orphan Children","Older orphans in Colombia often have no hope of growing up with a family simply because they have reached the age of eight! But many want - and long for -- a family. Kidsave gives them real hope by bringing them to the US for a 4- or 5-week visit to find a family interested in adopting them. 80% of these kids do find their forever family and are adopted.","Education","United States",11
"2579","Feed Muslim Orphans","This project will support daily feeding of 100 Muslim orphans in this time of extreme hunger and poverty in Nigeria from the conflict affected areas. The project beneficiaries are mainly less-privileged, orphans and Persons with disability that faces hardship in getting food to eat.","Food Security","Nigeria",14
"2580","Boost microbusinesses in Puerto Rico","Semillas Incubator changes the lives of people helping them develop entrepreneurial skills to start microbusinesses based on solidarity, and social responsibility. Because of current challenges, and to facilitate participation we are also leading a Virtual Business Training Cycle with 19 workshops on business topics and over 80 hours of one-on-one business consulting to 25 participants. We will continue to do both virtual, and face-to-face workshops alternately.","Economic Growth","Puerto Rico",9
"2581","Help Empower Girls and Women","This Project will help empower over 100 poor, uneducated young girls and women to study and learn new skills to become self sufficient and start a new life full of respect for themselves. The project provides various vocational training's like tailoring, beauticians, handicraft, nursing and spoken English. It will also help women who cant leave their homes for jobs to learn a skill and practice it within their reachable environment and earn some money for themselves and their children.","Gender Equality","India",15
"2582","Covid: Feed 145 families living in Bangalore slums","Ashwini Charitable Trust is continuing efforts since March 2020 to ensure that none of our student's families go hungry due to job insecurity in the time of a global pandemic and periodic lockdowns. The low income slum dwellers in urban Bangalore are hardest hit. The senior students of the Trust are key in ensuring fair distribution of food provisions amoung the community. Each kit contains: Rice, Toor, Sugar, Atta, Sooji, Chilli Powder, Dhaniya Powder, Tamarind, Oil, Jeera, Turmeric, Salt.","COVID-19","India",5
"2583","Feed 300 poor children in urban Mombasa","300 poor children in Miche Bora school in Mombasa rely heavily upon the feeding programme provided by Mustard Seed Project. Last year, the charitable trust which was funding this essential project closed down. We have managed to raise some funds for the programme but more is needed.","Food Security","Kenya",14
"2584","Rescue Orphaned & Injured Animals in the Amazon","Help care for 500 wild animals rescued from illegal trafficking in Bolivia. CIWY's three wildlife sanctuaries provide veterinary care, rehabilitation, and whenever possible, reintroduction to the wild. // Sumario: Ayudar a cuidar a 500 animales salvajes rescatados del trafico ilegal en Bolivia. Los tres santuarios de vida silvestre de CIWY brindan atencion veterinaria, rehabilitacion y, cuando sea posible, reintroduccion a la naturaleza.","Wildlife Conservation","Bolivia",27
"2585","Leadership Initiatives Students Creating Change","As members of Leadership Initiatives' (LI) International Internship Program, Kaushal, Santosha, Varnika, Rithwik, Priya, Ananya, and Shaila have been collaborating with local entrepreneurs, to address critical grassroots challenges facing small business owners in Bauchi, Nigeria. To transform lives, the team & LI are working to train vulnerable men and women in financial literacy and business management to empower & equip them to escape extreme poverty.","Economic Growth","Nigeria",9
"2586","COVID-19 and Community family mental health","This project will conduct community family mental health awareness promotion, we are planning 20 mobile community outreach activities to raise awareness in Mashonaland east province in Zimbabwe .Establishment of a toll-free line in Zimbabwe for tele-therapy providing mental health support for people directly and indirectly affected by COVID-19.","Physical Health","Zimbabwe",20
"2587","Help The Ethiopian Wolf, The World's Rarest Canid","With their distinctive red coat, long legs and bushy tail, the Ethiopian wolf is the world's rarest canid, the family of wolves, coyotes, foxes and domestic dogs. Ethiopian wolves are only found in the highlands of Ethiopia and are Africa's most threatened carnivore. With fewer than 500 Ethiopian wolves left in the world, every single one counts! Born Free supports the vital work of the Ethiopian Wolf Conservation Programme (EWCP), the only conservation initiative focusing on protecting them.","Wildlife Conservation","Ethiopia",27
"2588","Save Up Program","Save Up educates low-income families to better manage their resources. Program participants are empowered to purchase assets, like a first home or a vehicle.","Economic Growth","United States",9
"2589","Keep Pakistan Learning","Covid-19 is worsening inequities in our education system. Where school closures abruptly stopped learning for millions of children in low-income communities with limited access to technology, Teach For Pakistan Fellows established innovative learning routines for students using WhatsApp, SMS, calls, and printed learning packs. Moving forward, we want to support the system in offsetting the learning losses, caring for emotional & mental well-being of students, and safe re-opening of schools.","Education","Pakistan",11
"2590","Equip and Empower a Woman in India for Success","This project will train 140 poor women in India and teach them valuable sewing skills. It will also provide each woman with her own treadle sewing machine, allowing her to earn a living from home to support her family.","Gender Equality","India",15
"2591","Sponsor a Women to Start Her Own Business in Ghana","This project aims to identify aspiring local entrepreneurs who want to set-up a business and give themselves a sustainable income source. Often these women have a great business idea but with no means of funding it themselves, the government is also often not an option due to lack of funding. We will provide these women with grants to get a head start in their business and instead of paying high-interest rates on a loan they instead can give back to the project to help the next woman","Economic Growth","Ghana",9
"2592","Decent housing for construction foremen -Antioquia","The master builder beneficiary of the ParaConstruir Foundation develops his trade independently, in addition, his income is basically from day to day, his families are large, which hinders the economic solvency of the home, therefore, it does not allow to have a programmed saving to make improvements or endowment of your home. This project will contribute to the possession of a decent home, transforming the social and family environment of the master builder.","Safe Housing","Colombia",24
"2593","Leadership Initiatives Students Creating Change","As members of Leadership Initiatives' (LI) International Internship Program, Cadence, Aaron, Nuhamin, and Rishi, have been working with LI to research and learn about public health crises and potential solutions in Bauchi State, Nigeria. To transform lives, the team & LI are working to create a public health campaign to raise awareness and educate the people of Bauchi on these various public health issues.","Physical Health","Nigeria",20
"2594","Build Beraketa a Primary School","The high-priority project, requested by the community, aims to dramatically improve the quality of health and education at Beraketa primary school, in rural Madagascar. SEED will construct three classrooms, sanitation facilities, a water supply with handwashing stations, and housing for a teacher and their family. Infrastructure provision will be complemented by sustainable water, sanitation, and hygiene (WASH) education. CO2 emissions from the build will be offset with community tree planting.","Education","Madagascar",11
"2595","A NEW YEAR HOPE FOR VULNERABLE CHILDREN IN NIGERIA","This project is Inspired by the sad reality of a growing number of the less privileged, neglected, indigents, orphans and vulnerable children in Nigeria. Tabitha Home gives these children (whose vulnerabilities ranges from Neglect, Lack of Basic Needs, Sexual and Physical Abuse) access to all deserving rights and needs of children like Shelter, Nutrition, Psychosocial Support, Education, Medical, Protection, Rehabilitation, Child development, Social Integration and Sustainable Entrepreneurship.","Child Protection","Nigeria",2
"2596","Seeds for Life in Zambia","Providing seeds, fresh water and solar-powered water reticulation systems for schools and communities in Zambia. Thousands of rural children must walk several miles each way to get to school, women draw water from rivers and streams. In October temperatures soar to over 40 degrees C (100 degrees F), and no rain has fallen since April, resulting in food supplies being depleted. Children walk to school without breakfast, relying on school feeding program, which could be their only meal of the day.","Food Security","Zambia",14
"2597","Let's take care of the elderly in DR from COVID-19","El Proyecto es una iniciativa de la Fundacion Xiomara Urena B. en equipo con la por la Fundacion Funcomas que busca salvar vidas cientos de adultos mayores que estan siendo afectadas por la crisis actual causada por el COVID-19. Este proyecto te da la oportunidad de apoyar a garantizar alimentacion, salud y educacion para los envejecientes afectados y sus dependientes directos. Ademas, con este apoyo damos un respiro economico a sus familias con ancianos, que son que no cuentan con el respaldo.","COVID-19","Dominican Republic",5
"2598","In Albania, Food and Medicine for the Poor","Nehemiah Gateway has been providing food parcels, as well as medical and social help, to people in need in the Pogradec region of southeastern Albania since 1991. We help the poor, the marginalized, and the disabled move closer to a dignified and self-sufficient existence by first making it possible for them to meet their most basic needs. In 2022, inflation, exacerbated by war in Ukraine, has caused the cost of our aid parcels to increase by 50% while demand has also increased.","Food Security","Albania",14
"2599","Care for AWARE's Ambassador Animals","Atlanta Wild Animal Rescue Effort (AWARE) treats over 1,300 injured or orphaned wild animals yearly. The majority are able to be rehabilitated & returned to the wild. However, a small percentage have sustained severe injuries or have lost their fear of humans & cannot be released. Some of these animals become educational Ambassador Animals and help AWARE engage the public in lessons on how to peacefully co-exist with our wild neighbors. This project supports the care of our Ambassador Animals","Wildlife Conservation","United States",27
"2600","Prevent and Detect Cervical Cancer in Guatemala","Cervical cancer is the most fatal cancer among Guatemalan women. WINGS saves lives by providing screenings and treatment to women living in impoverished and isolated communities.","Physical Health","Guatemala",20
"2601","Protect the Amazon Rainforest and its Guardians","What first started as the documentary Tribes on the Edge, a film about the Javari Valley and its Indigenous Peoples by humanitarian and environmentalist Celine Cousteau has now become a much larger integrated impact campaign. Named The Javari Project, it aims to protect the indigenous tribes of the Vale do Javari and, by extension, the region's irreplaceable biodiversity. These tribes are truly the guardians of the rainforest and by protecting them we protect the Amazon and the air we breathe.","Climate Action","Brazil",4
"2602","Leadership Initiatives Students Creating Change","As members of Leadership Initiatives' (LI) International Internship Program, Melody Jolie, Gabrielle, Vanessa, Giselle, Ainsley, and Olivia have been collaborating with local entrepreneurs, to address critical grassroots challenges facing small business owners in Bauchi, Nigeria. To transform lives, the team & LI are working to train vulnerable men and women in financial literacy and business management to empower & equip them to escape extreme poverty.","Economic Growth","Nigeria",9
"2603","Support 125 children at Refugio Rafael in Bolivia","Refugio Rafael, located outside Cochabamba, Bolivia, provides core programs for vulnerable children and families. The transitional housing opportunity for single mothers and their children, currently serves 4 families who previously were homeless or unable to provide the basics for their families. The after school program serves 100 children who need critical educational support to succeed in school. Economic development, health care and social services complement the central programs.","Gender Equality","Bolivia",15
